"AptName","Target","TargetFullName","EntrezGeneSymbol","UniProt"
"seq.25240.1","EF2KT","Protein-lysine N-methyltransferase EEF2KMT","EEF2KMT","Q96G04"
"seq.25242.12","CATIP","Ciliogenesis-associated TTC17-interacting protein","CATIP","Q7Z7H3"
"seq.25244.9","HECD3","Probable E3 ubiquitin-protein ligase HECTD3","HECTD3","Q5T447"
"seq.25245.22","RIC8A","Synembryn-A","RIC8A","Q9NPQ8"
"seq.25247.12","ARMC8","Armadillo repeat-containing protein 8","ARMC8","Q8IUR7"
"seq.25248.28","NUMB","Protein numb homolog","NUMB","P49757"
"seq.25249.33","ODPAT","Pyruvate dehydrogenase E1 component subunit alpha; testis-specific form; mitochondrial","PDHA2","P29803"
"seq.25251.6","ENPP3","Ectonucleotide pyrophosphatase/phosphodiesterase family member 3","ENPP3","O14638"
"seq.25252.29","MTSSL","MTSS1-like protein","MTSS2","Q765P7"
"seq.25253.17","GNAS","Guanine nucleotide-binding protein G(s) subunit alpha isoforms","GNAS|GNAS","Q5JWF2|P63092"
"seq.25255.4","TMUB1","Transmembrane and ubiquitin-like domain-containing protein 1","TMUB1","Q9BVT8"
"seq.25256.153","EF-1-alpha-1","Elongation factor 1-alpha 1","EEF1A1","P68104"
"seq.25256.23","EF-1-alpha-1","Elongation factor 1-alpha 1","EEF1A1","P68104"
"seq.25257.162","OLIG1","Oligodendrocyte transcription factor 1","OLIG1","Q8TAK6"
"seq.25258.41","SPAT5","Spermatogenesis-associated protein 5","SPATA5","Q8NB90"
"seq.25259.7","CQ062","Uncharacterized protein C17orf62","CYBC1","Q9BQA9"
"seq.25260.62","CO017","Uncharacterized protein C15orf17","FAM219B","Q5XKK7"
"seq.25261.42","ANKS3","Ankyrin repeat and SAM domain-containing protein 3","ANKS3","Q6ZW76"
"seq.25262.6","ZW10","Centromere/kinetochore protein zw10 homolog","ZW10","O43264"
"seq.25263.4","RHG24","Rho GTPase-activating protein 24","ARHGAP24","Q8N264"
"seq.25264.102","SHIP","SHIP","INPP5D","Q92835"
"seq.25265.8","FNBP1","Formin-binding protein 1","FNBP1","Q96RU3"
"seq.25266.14","OSBL1","Oxysterol-binding protein-related protein 1","OSBPL1A","Q9BXW6"
"seq.25270.3","PML","Probable transcription factor PML","PML","P29590"
"seq.25272.17","CAD23","Cadherin-23","CDH23","Q9H251"
"seq.25274.2","ANKR2","Ankyrin repeat domain-containing protein 2","ANKRD2","Q9GZV1"
"seq.25275.30","HDAC4","Histone deacetylase 4","HDAC4","P56524"
"seq.25276.32","RABL6","Rab-like protein 6","RABL6","Q3YEC7"
"seq.25277.51","PANK1","Pantothenate kinase 1","PANK1","Q8TE04"
"seq.25278.41","RHG06","Rho GTPase-activating protein 6","ARHGAP6","O43182"
"seq.25279.44","NVL","Nuclear valosin-containing protein-like","NVL","O15381"
"seq.25280.2","LIMD1","LIM domain-containing protein 1","LIMD1","Q9UGP4"
"seq.25281.50","DPP8","Dipeptidyl peptidase 8","DPP8","Q6V1X1"
"seq.25282.6","AZIN1","Antizyme inhibitor 1","AZIN1","O14977"
"seq.25283.2","CTNA3","Catenin alpha-3","CTNNA3","Q9UI47"
"seq.25284.47","UBA6","Ubiquitin-like modifier-activating enzyme 6","UBA6","A0AVT1"
"seq.25285.14","KBTBB","Kelch repeat and BTB domain-containing protein 11","KBTBD11","O94819"
"seq.25286.33","RBG1L","Rab GTPase-activating protein 1-like","RABGAP1L","Q5R372"
"seq.25287.7","IF4G1","Eukaryotic translation initiation factor 4 gamma 1","EIF4G1","Q04637"
"seq.25288.16","FMO3","Dimethylaniline monooxygenase [N-oxide-forming] 3","FMO3","P31513"
"seq.25291.27","PKHM2","Pleckstrin homology domain-containing family M member 2","PLEKHM2","Q8IWE5"
"seq.25292.4","EST3","Carboxylesterase 3","CES3","Q6UWW8"
"seq.25292.6","EST3","Carboxylesterase 3","CES3","Q6UWW8"
"seq.25296.3","AMOT","Angiomotin","AMOT","Q4VCS5"
"seq.25297.11","SPD2B","SH3 and PX domain-containing protein 2B","SH3PXD2B","A1X283"
"seq.25298.53","KDM4C","Lysine-specific demethylase 4C","KDM4C","Q9H3R0"
"seq.25299.11","NCOA7","Nuclear receptor coactivator 7","NCOA7","Q8NI08"
"seq.25300.39","MALT1","Mucosa-associated lymphoid tissue lymphoma translocation protein 1","MALT1","Q9UDY8"
