AptName,TargetFullName,Target,UniProt,logFC,AveExpr,t,P.Value,adj.P.Val,B
seq.21707.15,Complement C1q-like protein 3,C1QL3,Q5VWW1,0.347495368,11.65374476,1.38994282,0.18057172,0.982436854,-4.491969735
seq.9874.28,Cyclin-dependent kinase 4 inhibitor B,p15-INK4b,P42772,0.225786583,11.1271933,1.389769587,0.180623525,0.982436854,-4.492034818
seq.2774.10,Interleukin-16,IL-16,Q14005,-0.35963569,15.01399957,-1.389338957,0.180752355,0.982436854,-4.492196581
seq.14005.2,Chromodomain-helicase-DNA-binding protein 7,CHD7,Q9P2D1,0.151785221,9.535890201,1.389144219,0.180810638,0.982436854,-4.492269722
seq.14685.17,RAC-beta serine/threonine-protein kinase,PKB beta,P31751,-0.28827856,11.76652965,-1.388930347,0.180874665,0.982436854,-4.49235004
seq.21722.21,Polypeptide N-acetylgalactosaminyltransferase 4,GALT4,Q8N4A0,-0.17588064,11.71283211,-1.38890486,0.180882297,0.982436854,-4.492359611
seq.23272.8,Protein DPCD,DPCD,Q9BVM2,-0.830827198,10.9399722,-1.388731165,0.180934311,0.982436854,-4.492424835
seq.4254.6,NudC domain-containing protein 3,NUDC3,Q8IVD9,-0.233371102,9.787030697,-1.387331722,0.181353826,0.982436854,-4.49295013
seq.21969.5,Dipeptidyl aminopeptidase-like protein 6,DPP6,P42658,0.357565845,9.87850782,1.38732206,0.181356725,0.982436854,-4.492953756
seq.18859.7,Eukaryotic translation initiation factor 4E-binding protein 3,4EBP3,O60516,-0.364699467,8.259383999,-1.387299394,0.181363526,0.982436854,-4.492962261
seq.22071.38,Ankyrin repeat and SOCS box protein 8,ASB8,Q9H765,0.097192059,10.73676467,1.387116226,0.181418495,0.982436854,-4.493030986
seq.8963.8,Vesicle transport through interaction with t-SNAREs homolog 1B,Vti1-rp1,Q9UEU0,-0.9454331,11.32467482,-1.387046618,0.181439388,0.982436854,-4.493057102
seq.8957.72,Endoplasmic reticulum lectin 1,XTP3B,Q96DZ1,-0.252194721,10.89885877,-1.386550451,0.181588368,0.982436854,-4.493243231
seq.23290.3,Survival motor neuron protein,SMN,Q16637,0.176291182,11.06793924,1.386361591,0.181645102,0.982436854,-4.493314066
seq.21703.31,Activin RIA,Activin RIA,Q04771,-0.656751355,9.559572341,-1.385645737,0.181860273,0.982436854,-4.4935825
seq.24937.7,Rho GTPase-activating protein 26,RHG26,Q9UNA1,-0.260023395,10.74653617,-1.384886606,0.182088675,0.982436854,-4.493867059
seq.15576.158,Eosinophil cationic protein,ECP,P12724,-0.485627515,15.71022412,-1.384014261,0.182351424,0.982436854,-4.494193923
seq.3494.71,Fibroblast growth factor 17,FGF-17,O60258,0.083270585,8.5301836,1.3830869,0.182631077,0.982436854,-4.494541247
seq.12844.10,BAG family molecular chaperone regulator 4,BAG4,O95429,-0.163517657,10.2175993,-1.382950024,0.182672381,0.982436854,-4.494592497
