"AptName","EntrezGeneSymbol","Target","TargetFullName","UniProt","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"seq.2809.25","ADAMTS4","ADAMTS-4","A disintegrin and metalloproteinase with thrombospondin motifs 4","O75173",-0.16481614564603,8.12833451942029,-2.62873242350683,0.0128351708947372,0.0374687634996135,-3.30949336459156
"seq.10855.55","PLXNB2","PLXB2","Plexin-B2","O15031",-0.812210025763685,12.6108576550099,-2.62751251789906,0.0128993165948451,0.0376397899237193,-3.31324346677961
"seq.7110.2","DNAJB11","DJB11","DnaJ homolog subfamily B member 11","Q9UBS4",-0.467425297882885,15.5431692879796,-2.62700071157917,0.012904605883921,0.0376397899237193,-3.31390980531502
"seq.7648.9","MYBPC1","MYPC1","Myosin-binding protein C; slow-type","Q00872",0.627600031130015,11.4374272512733,2.62598438807155,0.0129472008531336,0.0377344595332314,-3.31657030810998
"seq.5755.29","GIP","GIP","Gastric inhibitory polypeptide","P09681",0.186930348199509,9.81429960612795,2.62512846826005,0.0129479389175132,0.0377344595332314,-3.31734627066097
"seq.21833.6","SIRT6","sirtuin","silent mating type information regulation 2 homolog","Q8N6T7",0.426099447886651,12.6317165655041,2.62498241724303,0.0129589049153284,0.0377505630593887,-3.31792947452449
"seq.13966.30","MYOM3","MYOM3","Myomesin-3","Q5VTT5",0.348777578298606,11.3020149448624,2.62408530814255,0.0129903799055722,0.037826372708672,-3.32001724216542
"seq.4876.32","F9","Coagulation Factor IX","Coagulation factor IX","P00740",0.894283670946168,13.70324861527,2.62341824586203,0.0130279812730954,0.037912666953595,-3.32215415244964
"seq.3387.1","PAK3","PAK3","Serine/threonine-protein kinase PAK 3","O75914",0.181341291610575,9.76456771313298,2.62249424118849,0.0130309425975391,0.037912666953595,-3.32308174378173
"seq.10454.99","DNAJC16","DJC16","DnaJ homolog subfamily C member 16","Q9Y2G8",-0.537422602529766,8.38111320061193,-2.62101690915854,0.0131039954322969,0.0380985548405957,-3.32737618052567
"seq.13670.81","PLA2G2E","GIIE","Group IIE secretory phospholipase A2","Q9NZK7",0.392151589250831,9.59267627724728,2.62095958521581,0.0131058150172218,0.0380985548405957,-3.32750080121695
"seq.2989.17","IFNG","IFN-g","Interferon gamma","P01579",-0.327703761061741,10.4677769511272,-2.62041179888792,0.0131173327922907,0.0381160687796085,-3.32845067458135
"seq.11646.4","CHST9","Carbohydrate sulfotransferase 9","Carbohydrate sulfotransferase 9","Q7L1S5",-0.19813344783716,9.58186194622569,-2.61732306866995,0.0131953164405332,0.0383266223444368,-3.33432998996305
"seq.12591.27","OPHN1","Oligophrenin-1","Oligophrenin-1","O60890",-1.00989303316973,10.6706593662761,-2.61713826290952,0.0132276399034018,0.0384044323387887,-3.335804262806
"seq.22586.24","BTN2A2","BT2A2","Butyrophilin subfamily 2 member A2","Q8WVV5",-0.320545530654403,11.0160756326839,-2.61583734014152,0.0132501407524173,0.0384536707156102,-3.33785236818223
